int,int,int
id,x,y
0,0,0
1,0,-1
2000,2,0
2001,2,-1
3001,3,-1
3000,3,0
1000,1,0
5001,5,-1
5002,5,-2
6001,6,-1
1001,1,-1
1002,1,-2
4000,4,0
4001,4,-1
4002,4,-2
5000,5,0
5003,5,-3
5004,5,-4
6003,6,-3
6004,6,-4
6000,6,0
6002,6,-2
7002,7,-2
7001,7,-1
3002,3,-2
8001,8,-1
9001,9,-1
2002,2,-2
3003,3,-3
1003,1,-3
1004,1,-4
3004,3,-4
1005,1,-5
2004,2,-4
2003,2,-3
2005,2,-5
3005,3,-5
7003,7,-3
4004,4,-4
4003,4,-3
5005,5,-5
7004,7,-4
8003,8,-3
8002,8,-2
9002,9,-2
9003,9,-3
9004,9,-4
9005,9,-5
4005,4,-5
8000,8,0
6005,6,-5
7005,7,-5
8004,8,-4
8005,8,-5
7000,7,0
2,0,-2
3,0,-3
4,0,-4
5,0,-5
9000,9,0
5006,5,-6
3006,3,-6
4006,4,-6
7006,7,-6
6006,6,-6
1006,1,-6
2006,2,-6
8006,8,-6
9006,9,-6
10001,10,-1
10002,10,-2
10003,10,-3
10004,10,-4
10005,10,-5
10006,10,-6
6,0,-6
10000,10,0
