int,(Model)int,int,int,(Language)int,int,int,int
id,model,minTime,maxTime,language,scoreMin,scoreMax,effectCount
1,1,241,100000000,1001,20,29,0
2,1,121,240,1001,30,39,1
3,1,61,120,1002,40,59,2
4,1,31,60,1003,60,69,3
5,1,13,30,1004,70,79,6
6,1,8,12,1005,80,89,9
7,1,1,7,1006,90,95,100
8,2,481,100000000,1001,20,29,0
9,2,241,480,1001,30,39,1
10,2,181,240,1002,40,59,2
11,2,91,180,1003,60,69,3
12,2,46,90,1004,70,79,6
13,2,16,45,1005,80,89,9
14,2,1,15,1006,90,95,100
15,3,900,100000000,1001,20,29,0
16,3,301,900,1001,30,39,1
17,3,241,300,1002,40,59,2
18,3,181,240,1003,60,69,3
19,3,121,180,1004,70,79,6
20,3,61,120,1005,80,89,9
21,3,1,60,1006,90,95,100
